target_id,title,region,language,revision,sha1,verification
jp-green-v1.0,Pocket Monsters Midori,Japan,Japanese,V1.0,82c0eef40a5e2423699d9fd8ba15dfaa8b51d196,external-reference-local-match-pending
jp-green-v1.1,Pocket Monsters Midori,Japan,Japanese,V1.1,4b97cd44aa3f0dd290bfe7b3ac17b7bd8270897b,external-reference-local-match-pending
